1,1,2,1
2,2,3,1
3,4,5,1
4,5,6,1
5,7,8,1
6,8,9,1
7,10,11,1
8,11,12,1
9,13,14,1
10,14,15,1
11,16,17,1
12,17,18,1
13,19,20,1
14,21,22,1
15,23,24,1
16,25,26,1
17,201,27,5
18,27,28,2
19,27,29,2
20,30,32,1
21,31,33,2
22,34,35,1
23,35,36,2
24,37,38,1
25,38,39,2
26,40,41,2
27,42,44,2
28,43,45,2
29,46,47,2
30,48,49,1
31,50,51,1
32,51,52,2
33,53,54,1
34,55,56,1
35,57,59,1
36,58,60,1
37,61,64,1
38,62,65,5
39,63,957,1
40,66,67,1
41,68,69,1
42,70,71,2
43,72,73,1
44,73,74,2
45,73,215,4
46,75,76,1
47,76,77,3
48,78,79,1
49,79,80,3
50,81,82,1
51,82,83,2
52,84,85,1
53,86,88,1
54,88,90,3
55,89,91,3
56,92,94,1
57,93,95,1
58,96,98,1
59,96,228,4
60,97,99,2
61,97,229,2
62,488,138,7
